id;gum;es
9592;Inchen tru utu ñimungucha kanbalatѳ kusrub marѳb ambiilѳ gѳn, Espíritu Santѳgurri Tius truyu nѳ pasramig kѳnrrai.;En él también ustedes se unen todos entre sí para llegar a ser un templo en el cual Dios vive por medio de su Espíritu.
9593;Inchen nuinug tru yawan, purѳ may tamara warѳb tabig kusrub marene, tru yabe kurrab ippe, Señѳrweyasiitѳ tarѳmari ya gѳnrrab kurrab yan.;En Cristo, todo el edificio va levantándose en todas y cada una de sus partes, hasta llegar a ser, en el Señor, un templo santo.
9594;Inchawei yandѳ ñimbe peg birausreelѳ gѳmѳwei, ni pestѳ ka pua buramrraptѳ amrruateelѳ gѳmѳwein gѳn. Mѳimbe treeg kѳmѳtѳ, Tiuswei misaameraba kanguelarrѳtѳ marѳb tѳgagѳmigwan tѳgar, Tiuswei misaameraba kan yautѳ latailѳ,;Por eso, ustedes ya no son extranjeros, ya no están fuera de su tierra, sino que ahora comparten con el pueblo santo los mismos derechos, y son miembros de la familia de Dios.
9595;Kaguen nѳgurriwei nam lata, nѳm lata, Tius Mѳskawan tru Espíritu Santѳtѳgatѳwei kemalamig tѳga bѳnrrer.;Pues por medio de Cristo, los unos y los otros podemos acercarnos al Padre por un mismo Espíritu.
9596;Incha gatѳ Cristѳbe tru pabalѳ gѳbigwan kan asrtѳ lataig mara, Tiusba gatѳle treetѳwei katѳ tab kѳrrѳmisrtrai marig kѳn, tru ashig kѳmui indiyab pѳnrraigwan yandѳ mas treeg kѳmѳnrrai nѳ kurusyu kwaitѳga patsѳga gѳrrѳmarѳb.;Él puso fin, en sí mismo, a la enemistad que existía entre los dos pueblos, y con su muerte en la cruz los reconcilió con Dios, haciendo de ellos un solo cuerpo.
9597;Kaguende tru ambugurri igurri chi isumikkaig tab gѳbig namuinug pasrabiibe Jesucristѳ nѳwein gѳn, tru pa sѳtѳ gѳbigwan kan sѳtѳtѳ gѳnrrai marѳbig. Tru ashig kѳmui indiyab waraig kѳbig kan pirѳbanrrig sѳtѳbasrab lataig pasrabigwan pѳtiichippe,;Cristo es nuestra paz. Él hizo de judíos y de no judíos un solo pueblo, destruyó el muro que los separaba y anuló en su propio cuerpo la enemistad que existía.
9598;Inchawei ñim tru trendѳ judíѳs kѳmѳ misaamerane merrabsrѳmbe tru judíѳsmera nѳmui asru taska circuncidailѳbe ñimune: Circuncidaimѳ misakkѳlleelѳ cha wamab tѳgagúilan isua guy.Ñimbe tru urasrѳmbe Cristѳne chigar, Israel misaamera chitѳ marѳbelѳ gѳben, ñimbe treegwan maramig chigar gѳnrrai tarѳmariilѳ, katѳ Tius nui misagwan ѳyeeg trannrrab kѳrrѳmisri acuerdѳsmera mariilane chi asamig chigar, katѳ chiwan muniirab melamig chigawei, yu pirau ñimbe Tius kaweyelѳ gѳbig kѳn.;recuerden que en otro tiempo estaban sin Cristo, separados de la nación de Israel, y no tenían parte en las alianzas ni en la promesa de Dios. Vivían en este mundo, sin Dios y sin esperanza.
9599;Kaguende nambe Tius nѳ mariilѳ guer, Cristѳ Jesúskurri srѳig peemayelѳ gѳnrrai mariilѳ tabigwan marѳbelѳ gѳnrrai mariilѳ, tru treegwan marѳb amѳñibelѳ gѳnrrai Tius manasrѳwei pѳnsrailan.;pues es Dios quien nos ha hecho, él nos ha creado en Cristo Jesús para que hagamos buenas obras, siguiendo el camino que él nos había preparado de antemano.
9600;Kaguende ñimbe Tius ka yandѳ tab indiitѳgatѳ kaigyugurri wesrailѳ gѳn, ñimui isubigwan Jesucristѳinuutѳ pasrikkurri. Iibe ñim chigѳben marikkurrin gѳmѳtѳ, iigwane Tiusbe ka yandѳ keta tranig kѳn.;Pues por la bondad de Dios han recibido ustedes la salvación por medio de la fe. No es esto algo que ustedes mismos hayan conseguido, sino que es un don de Dios.
9601;tru wendѳsrѳ attrabigu nui ka yandѳ tab indig tѳgagѳmburab tѳgagúigwan kenamartrab, nѳ namun purѳ tabig kѳptѳ Cristѳ Jesúskurri.;Hizo esto para demostrar en los tiempos futuros su generosidad y su bondad para con nosotros en Cristo Jesús.
9602;tru martrai karua pѳnsrailan mѳra marmuilѳyutѳ kwailѳ amѳñibenbatѳsrѳwei, tru ѳsig kѳmigwane Cristѳba kanbalatѳ tѳgagѳnrrai namun tranig kѳbig kѳn. ¡Tius tru ka yandѳ tab indiitѳgatѳ ñimbe kaigyugurri wesrailѳ gѳn!;que nos dio vida juntamente con Cristo cuando todavía estábamos muertos a causa de nuestros pecados. Por la bondad de Dios han recibido ustedes la salvación.
9603;Namgucha merrabsrѳmbe mayeelѳba namun asr maig trѳmbѳig marѳg kui inchen nѳmui utu treetѳwei marѳb amѳñibelѳ gѳbig ker, namui asr maig srua itanmaptѳ, tru gúindѳ kaig marѳb, kailan isub. Kaigwan nam trendѳ tѳgagúikkurri, Tiuswei purѳ rrѳmbѳig namig kѳbigwan utѳnrrabelѳ gѳbig ker, katѳganelѳ mayeelѳ latawei.;De esa manera vivíamos también todos nosotros en otro tiempo, siguiendo nuestros malos deseos y cumpliendo los caprichos de nuestra naturaleza pecadora y de nuestros pensamientos. A causa de eso, merecíamos con toda razón el terrible castigo de Dios, igual que los demás.
9604;Namui Señѳr Jesucristѳi ka yandѳ tab indiibe ñim mayeelѳba kѳnrraimab isur.;Que nuestro Señor Jesucristo derrame su gracia sobre todos ustedes.
9605;Na Pablѳ nai taska iigwan pѳrar, ñimun ka amѳñigueh chib. Kilgamera mѳitѳgucha na bѳriilѳbe na bѳrig kѳnmab asamdeelѳ gѳnrrai, ѳyamay pѳrѳbig kur.;Yo, Pablo, les escribo este saludo de mi puño y letra. Así firmo todas mis cartas, así escribo.
9606;Inchendѳ kaig kѳnmab ashiptѳ ashig kѳmui inchib treeg inchib tѳgagѳmѳtѳ, nuneg kui ashabe, ashiptѳ megau cha, ѳyeebe marmumig kѳn chib, eshkab wamindamig kѳn.;Pero no lo tengan por enemigo, sino amonéstenlo como a hermano.
9607;Mѳikkѳben tru i kilgayu maig martrain cha trendaigwan mѳrmíigwane ñimbe trunune trendѳ treeg kui yandѳ asha tѳgaguy. Incha truibabe linchibgucha linchimumig kѳn, treenchene kwartrai.;Si alguno no hace caso a lo que decimos en esta carta, fíjense en quién es y no se junten con él, para que le dé vergüenza.
9608;Inchen ñim, namui nunelѳbe, chigѳben tabig maramigwane muraarab melѳnrrab gѳmѳ, maray.;Pero ustedes, hermanos, no se cansen de hacer el bien.
9609;Nambe wammѳra guer, mѳilѳgѳben ñimui utuelѳ ke chigucha chi marmѳ ka amѳñinrrabgѳba inchibelѳ kuin gúi, nѳmuimburab gѳmubendѳ, mendailaisrѳ ke ka neesha mѳrѳb.;Pero hemos sabido que algunos de ustedes llevan una conducta indisciplinada, muy ocupados en no hacer nada.
9610;Nambe mu mandamgaig maramig chigar guagurri ñimun purugurra chinrrab gaima pѳnrrѳmѳtѳ, ñimguen namun asha kusrenrrai isua, ѳyeeg muraara marig kѳbig kѳn.;Y ciertamente teníamos el derecho de pedirles a ustedes que nos ayudaran, pero trabajamos para darles el ejemplo que ustedes deben seguir.
9611;Pѳs ñimbe yandѳ ashibelѳ gѳn, nam mandѳ waraig kѳbigwan ñimgucha treetѳwei waramig kѳnrrai. Nambe ñimui utu warappe, chi marmѳ ka warѳnrrabgѳba inchimѳwei,;Pues ustedes saben cómo deben vivir para seguir nuestro ejemplo: nosotros no llevamos entre ustedes una conducta indisciplinada,
9612;Tiuswei undag kѳbigwanba, maig kuingucha yaandѳ, yaandѳ melamig Cristѳ tѳgagúigwanba, Señѳrbe ñimui manrrѳmeran trunun nebua tѳgagѳnrrai martraimab isur.;Que el Señor los ayude a amar como Dios ama y a tener en el sufrimiento la fortaleza de Cristo.
9613;Nambe Señѳrtѳgabe treeg kuitamab isua bѳnrrer, martrai nam karua pѳnsraigwan ñim mѳi ya marѳb melaigwan lata, katѳ maramigwan ñimbe marѳbig martrab gúi.;Y en el Señor tenemos confianza en que ustedes hacen y seguirán haciendo lo que les hemos ordenado.
9614;Katѳ trѳmbѳig marѳptѳ yandѳ mindiilѳ, larrѳ gaig mѳguelai tasku nam kegѳrrab melamig kѳmѳnrrai tѳga miarrunrrigay. Kaguende isubigwan Jesucristѳinug pasra tѳgagѳmigwane mayeelѳbabe tѳgagѳmѳn.;Oren también para que seamos librados de los hombres malos y perversos, porque no todos tienen fe.
9615;ñimui manrrѳmerayu purѳ tab gúi pѳnrrѳnrraimab isub, ñimui chigurrimbunѳ tabig marigu lata, tabig wamindigu lata tabig marig kѳrrѳmisrtrai treeg martrun.;anime sus corazones y los mantenga a ustedes constantes en hacer y decir siempre lo bueno.
9616;Treeg kѳbene, namui nunelѳ, maig pѳnrrabelѳbe truyutѳ tarѳmisrmѳ melay, namashib pѳnrrѳwa kusrenaniilan lata, kabe kilgayu pѳrigwan kusrenaniilan lata truigwane elatchab gѳmѳ, tab tѳga bѳnrray.;Así que, hermanos, sigan firmes y no se olviden de las tradiciones que les hemos enseñado personalmente y por carta.
9617;Inchendѳ nambe chu uraskucha Tiuswan ñimuimburab ungwa, ungwa chib gѳmig kѳtan, Señѳr undaaraig nunelѳ. Kaguende srѳsrѳgurri kaigyugurri wesrailѳ gѳmig kѳnrrai Tiusbe ñimune lawa wesraig kѳbig kѳn, Espíritu Santѳgurri tabig chishmarikkurrimba, katѳ ñimui isubigwan newan ciertѳnigu pasra tѳgagúikkurrimba.;Pero nosotros siempre tenemos que dar gracias a Dios por ustedes, hermanos amados por el Señor, porque Dios los escogió para que fueran los primeros en alcanzar la salvación por medio del Espíritu que los hace santos y de la verdad en que han creído.
9618;Inchawei Tiusbe tru pelѳsrkѳb kegѳrrѳsrkѳbigwan maramburab martrai ѳrtrun, isa wamindiilan kѳrenrrai,;Por eso, Dios deja que el error los engañe y que crean en la mentira,
9619;Tru larrѳ gaig arrua mariibe, Satanás purugúitѳga marѳb attrun, marѳppe, Satanás maramburab mariilѳtѳgaba, nѳ pasrain gúi ashchai mariilan mariitѳgaba, tabig kѳmíitѳga kwaara asha gѳnrrai marѳb pasrailѳtѳgaba.;En cuanto a ese malvado, vendrá con la ayuda de Satanás, llegará con mucho poder, y con señales y milagros falsos.
9620;Kaguende tru mu asiimíig purѳ gaig pasrabiibe chabguen marѳbguen basran. Inchendѳ tru treeg marmѳnrrai mѳi ya merrarrab sѳtѳ basrabiibe, sѳtѳ gatab pasrabig pasrѳnrrun tru utugurri wesramnegatig.;Pues el plan secreto de la maldad ya está en marcha, sólo falta que sea quitado de en medio el que ahora lo está deteniendo.
9621;Tru kaig martrab mѳg treeg maramig puben tru uras kenamisrtrai tru merrarrab sѳtѳ basrabiibe chi sѳtѳ basrain gúi ñimbe ashibelѳ gѳn.;Y ahora ustedes saben qué es lo que lo detiene, para que no aparezca antes de su debido tiempo.
9622;Tru mѳѳbe tru chimerandѳgucha tius kѳn chib tѳgagúilanba, katѳ chiwan gѳben kѳriibala tabig waminchib tѳgagúilanba, ashig kѳmui inchib sѳtѳ basramisrѳb, purab nuig misrѳb pasrѳnrrun. Incha treetѳ gѳnrrab gúindѳ, Tiuswei yauguen kebya wamisra, nѳashibguen Tius kur chib wanrrun.;Éste es el enemigo que se levanta contra todo lo que lleva el nombre de Dios o merece ser adorado, y llega incluso a instalar su trono en el templo de Dios, haciéndose pasar por Dios.
9623;tiusmanda ñim maig isua pѳnrraigwan ke mѳi mѳi peetѳ isub yunѳmarѳb, ke chinsraatѳ inchib pѳnrrѳnrrai kwaarѳsrainab pѳnrrѳnrrab gѳmѳ chinrrab inder. Tru arrum gwalѳmbe yandѳ pun chib, Tius treeg wamindingarutan chib wamindi lata, kabe treeg kѳn chib eshkaig lata, kabe treeg kѳnrrun chib nam guilga bѳrig kѳn chib waminchib gúi lata mѳrmѳnrrigay.;que no cambien fácilmente de manera de pensar ni se dejen asustar por nadie que diga haber tenido una revelación del Espíritu, o haber recibido una enseñanza dada de palabra o por carta, según la cual nosotros habríamos afirmado que el día del regreso del Señor ya llegó.
9624;namui Señѳr Jesúswei munchiwan ѳyamaybe ñimgurri maya nuguen tab indig kѳben, ñimbe nѳgurri maya nuguen tab indiilѳ gѳnrrai miabelѳ guer, tru ka yandѳ tab indig namui Tiusweimba, Señѳr Jesucristѳimba maig kѳnrrain gѳben treeg.;De esta manera, el nombre de nuestro Señor Jesús será honrado por causa de ustedes, y él los honrará conforme a la bondad de nuestro Dios y del Señor Jesucristo.
9625;tru nui misaamera nun maya nuguen tab indig kѳnrrappa, tru mayeelѳ nun kѳrebelѳ yeekkucha gѳnrrabmab kwaara asig kѳnrrappa arrub gwalѳm. Inchen ñimgucha tru utu tѳga bѳnrrѳnrrun, kaguende nam maig eshkab wamindigwan ñim kѳreikkurri.;cuando el Señor venga en aquel día para ser honrado entre su pueblo santo y admirado por todos los creyentes, pues ustedes han creído en el testimonio que les dimos.
9626;Tiuswan ashmeelanba, katѳ namui Señѳr Jesucristѳi tabig srѳ wamwan mѳrѳg kѳmui inchibelanba Tiusbe maig kѳnrrabigwan mѳra melѳnrrai martrab attrun.;Vendrá para castigar a los que no reconocen a Dios ni obedecen al evangelio de nuestro Señor Jesús.
9627;Tiusbe sѳlgandѳ tab asha marѳbiibe ñimun kaig nebunrrai marѳbelane, nѳmungucha treetѳwei mѳra melѳnrrai martrun.;Pues es justo que Dios haga sufrir a quienes los hacen sufrir a ustedes,
9628;Inchawei treekkurri nambe Tiuswei iglesiamerayu ñimuimburab truba tab gúi waminchibelѳ guer, ñim melabig melaigwanba, isubigwan Jesucristѳinug pasra melaigwanba, chine kaig indinab melamig arrubigu, ñim truba isuig puraambub melamig nebuindѳgucha.;De modo que nosotros mismos hablamos de ustedes con satisfacción en las iglesias de Dios, por la fortaleza y la fe que ustedes muestran en medio de todas las persecuciones y aflicciones que sufren.
9629;Tius Mѳskaweinukkurrimba, Señѳr Jesucristѳinukkurrimba tru ka yandѳ tab indiiba, chi isumgaig tab gѳbiiba ñimba pasrѳnrrun.;Que Dios nuestro Padre y el Señor Jesucristo derramen su gracia y su paz sobre ustedes.
9630;Na Pablѳba, Silasba, Timѳteѳba kanbalatѳ misra, Tesalónicasrѳ iglesian i kilgawan pѳrar, namui Tius Mѳskaimba, Señѳr Jesucristѳba kanbalatѳ pѳnrrabelan,;Pablo, Silvano y Timoteo saludan a la comunidad de los creyentes de la ciudad de Tesalónica, que están unidos a Dios nuestro Padre y al Señor Jesucristo.
9631;Ñimbe namui nunelan mayeelan purѳ tab wamab, Tiuswei undag kѳbiitѳga tasig rranѳb ka amѳñigueh chinrrigay.;Saluden a todos los hermanos con un beso santo.
9632;Namui nunelѳ, namuyasig Tiuswan tѳga miarrunrrigay.;Hermanos, oren también por nosotros.
9633;Tru ñimun wamabiibe, nѳbe maig taigwan treeg marѳbig kѳn. Incha nѳbe treegwan martrab gúinrrun.;El que los llama es fiel, y cumplirá todo esto.
9634;chigurrimbunѳ kaigwane marmumig kѳn.;Apártense de toda clase de mal.
9635;chi pub arrindѳgucha, Tiuswane ungwa, ungwa tamig kѳn, kaguende Tiusbe ñim ѳyeeg marѳbelѳ gѳnrraiwei isua gѳn, Cristѳ Jesúskurri.;Den gracias a Dios por todo, porque esto es lo que él quiere de ustedes como creyentes en Cristo Jesús.
9636;Espíritu Santѳi marѳb pasraig kan nag lataitѳwei ñimuinug pilab pasrabigwane kwabashmѳtay.;No apaguen el fuego del Espíritu.
9637;chu urastѳgucha Tiusba wamindamigwane elachimѳ, nѳba waminchib,;Oren en todo momento.
9638;Chu urastѳgucha ñimbe kasraatѳ amѳñib,;Estén siempre contentos.
9639;Katѳ ñim, namui nunelan, trenchinrrab inder, chigѳben marѳg kѳmui inchib pѳilane murba waminchigay cha, katѳ kѳriiteelane treetѳ melѳmѳnrrai waminchib, katѳ chiyugѳben purѳ gullaguelane purugub, mayeelanba larrѳ tammay inchurrunrrigay cha.;También les encargamos, hermanos, que reprendan a los indisciplinados, que animen a los que están desanimados, que ayuden a los débiles y que tengan paciencia con todos.
9640;Katѳ ñim namui nunelan trenchinrrab inder, ñimui utu marѳb, katѳ karub pѳnrrabelane maig kѳbash inchimѳ, tiusmanda tab inchunrrigay cha, Señѳrweimburabelѳyu tru pera marѳb, maig maramigwan treeg marѳb melamig kѳn chib waminchibelane.;Hermanos, les rogamos que tengan respeto a los que trabajan entre ustedes, los dirigen en las cosas del Señor y los amonestan.
9641;Nѳbe namuyasig purѳbasramisra kwaig kuig kѳn, nam ѳsig amѳnai lata, kabe nam kwaimbala lata nѳba kanbalatѳ purramig kѳnrrai.;Jesucristo murió por nosotros, para que, ya sea que sigamos despiertos o que nos durmamos con el sueño de la muerte, vivamos juntamente con él.
9642;Kaguende Tiusbe namune nui purѳ rrѳmbѳig kѳrig kѳmdiig namig kѳbigwan utѳnrrai mara bѳnsrѳmѳtѳ, kaigyugurri wesraig kѳmigwan nebua utѳnrrain gúig kѳn, namui Señѳr Jesucristѳgurri.;Porque Dios no nos destinó a recibir el castigo, sino a alcanzar la salvación por medio de nuestro Señor Jesucristo.
9643;Kaguende tru kibelѳbe yem guian. Inchen mutsiirabelѳbe yem mutsiiran.;Los que duermen, duermen de noche, y los que se emborrachan, se emborrachan de noche,
9644;Inchawei treekkurri, nambe gatѳganelѳ lataitѳwei kib lataig amѳñimѳtѳ, pesannamѳ purѳ isuptѳ melѳgun, trurrigu tab isuamѳrague.;por eso no debemos dormir como los otros, sino mantenernos despiertos y en nuestro sano juicio.
9645;Inchendѳ ñim, namui nunelѳbe, lѳstѳyu bѳnrrѳmѳn, tru gwalѳm ñimun kan niliig arrub lataitѳwei, ke chi isumѳ gѳben arrinab pѳnrrѳnrrain gѳmѳ.;Pero ustedes, hermanos, no están en la oscuridad, para que el día del regreso del Señor los sorprenda como un ladrón.
9646;Inchen Señѳr chiwei arrumigwanba, katѳ mana arrumigwanbabe ñim, namui nunelan, na chi pѳramig palѳmѳn.;En cuanto a las fechas y los tiempos, hermanos, no necesitan que les escribamos.
9647;Inchawei kangurrin gangurri ѳyeeg wamindiilѳtѳga waminchib puruguyay;Anímense, pues, unos a otros con estas palabras.
9648;Inchen nam ka ѳsig amѳñibelѳbe tru kwaig warѳwa kiagasrabelѳba kanbalatѳ wañiyu srua ambiilѳ gѳmѳnrrun Señѳrwan palasrѳ katѳnrrab. ѳyamay nambe managatig Señѳrba purramig kѳnrrun.;después, los que hayamos quedado vivos seremos llevados, juntamente con ellos, en las nubes, para encontrarnos con el Señor en el aire, y así estaremos con el Señor para siempre.
9649;Señѳr nѳ maig taig, nambe nѳ arrumnegatig nam ka ѳsig amѳñibelѳbe kwabelѳguen ammѳwatѳ nammerrig ambamibe kaanrrun cha trendamѳnrrun.;Por esto les decimos a ustedes, como enseñanza del Señor, que nosotros, los que quedemos vivos hasta la venida del Señor, no nos adelantaremos a los que murieron.
9650;Ñim, namui nunelan, tru kwawa ka kib lataitѳ warabelaimburabigwan mandѳ inchab gúinguen mѳrmeelѳ kѳrrѳmisrmѳnrrai nambe eshkanrrab inder, katѳganelѳ tru isua muniiramigwan chigar lata ke chinsraatѳ isui inchimѳnrrai.;Hermanos, no queremos que se queden sin saber lo que pasa con los muertos, para que ustedes no se entristezcan como los otros, los que no tienen esperanza.
9651;Warappe, ñimuimburab wasrѳndaa tab waramigwan isumig kѳn, mu mendaigweiwan gѳmѳ, ñimuimburabigwan isub, ñimui taska ñimui maramelan marѳb, nam ñimun maig martrain garuig treekke,;Procuren vivir tranquilos y ocupados en sus propios asuntos, trabajando con sus manos como les hemos encargado,
9652;Ñim nunelan tru undaguelѳ gѳmigweimburappe undaguelѳ gѳmig kѳn chib, ñimun pѳramibe chi palѳmѳn. Kaguende Tius kusrenanin gѳn, kangurrin gangurri ñim undaguelѳ gѳnrrai.;En cuanto al amor entre hermanos, no tienen necesidad de que les escribamos, porque Dios mismo les ha enseñado a amarse unos a otros.
9653;Inchawei i kusrenaniilan kaashibiibe, mu mѳwan gashmѳtѳ, Tiuswan gaasan, nui Espíritu Santѳn ñimun tranѳbigwan.;Así pues, el que desprecia estas enseñanzas no desprecia a ningún hombre, sino a Dios, que les ha dado a ustedes su Espíritu Santo.
9654;Judíѳs kѳmeelѳ Tiuswan ashmѳ misaamera latawei trѳmbѳig marѳg kѳbiitѳ ke chinchimmѳrѳ inchib, truitѳ srua ambiilѳ bѳnrramig kѳmѳn.;no con pasión y malos deseos como las gentes que no conocen a Dios.
9655;Katѳ ñim mѳitѳgucha ñimui asrwane isua mѳra tѳgagѳm gusremig kѳn, newan tabig, trѳmbѳig marѳb maig kѳbash kѳmѳtѳ.;y que cada uno sepa dominar su propio cuerpo en forma santa y respetuosa,
9656;Ñimbe ashibelѳ gѳn, Señѳr Jesús treeg martrai karua basriitѳga maytѳ marѳb gѳmigwan nam ñimun eshkaigwan.;Ustedes conocen las instrucciones que les dimos por la autoridad del Señor Jesús.
